row;miasto_excel;miasto_osm;ulica;konstrukcja;strona;lat;lng;typ_excel;typ_reklamap;wymiar;szer_m;wys_m;cena_mc;oswietlenie;link;maps;osm_display
2;Andrychów;Andrychów;Stefana Batorego;;;49.85615;19.338228;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/batorego/;https://maps.app.goo.gl/pjo9escSHt2bGZCU8;Stefana Batorego, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
3;Andrychów;Andrychów;Stefana Batorego;I;2;49.85615;19.338228;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/batorego-i-2/;https://maps.app.goo.gl/pjo9escSHt2bGZCU8;Stefana Batorego, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
4;Andrychów;Andrychów;Stefana Batorego;II;;49.856281;19.338433;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/batorego-ii/;https://maps.app.goo.gl/5euS2wmVhewwbm3V6;Stefana Batorego, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
5;Andrychów;Andrychów;Beskidzka;;;49.847741;19.33843;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/beskidzka/;https://maps.app.goo.gl/7rN6F54H3riNLQX97;Beskidzka, Brzegi, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
6;Andrychów;Andrychów;Beskidzka;I;2;49.847741;19.33843;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/beskidzka-i-2/;https://maps.app.goo.gl/7rN6F54H3riNLQX97;Beskidzka, Brzegi, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
7;Andrychów;Andrychów;Beskidzka;II;;49.847913;19.338519;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/beskidzka-ii/;https://maps.app.goo.gl/899EGzQXSAGjSHFM8;Beskidzka, Brzegi, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
8;Andrychów;Sułkowice;Beskidzka;III;;49.8241944;19.3373889;billboard;billboard;600 x 300 cm;6.0;3.0;1500;tak;https://brokersmedia.pl/billboard/beskidzka-iii/;https://maps.app.goo.gl/TV79xGLgsqEEmu8S9;Beskidzka, Podgronie, Sułkowice, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
9;Andrychów;Andrychów;Jarosława Dąbrowskiego;;;49.846329;19.347659;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/dabrowskiego/;https://maps.app.goo.gl/9zkEdLoAQdmsB6PD6;Jarosława Dąbrowskiego, Olszyny, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
10;Andrychów;Andrychów;Jarosława Dąbrowskiego;I;2;49.846329;19.347659;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/dabrowskiego-i-2/;https://maps.app.goo.gl/9zkEdLoAQdmsB6PD6;Jarosława Dąbrowskiego, Olszyny, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
11;Andrychów;Andrychów;Krakowska;I;;49.858643;19.324084;billboard;billboard;504 x 238 cm;5.04;2.38;950;nie;https://brokersmedia.pl/billboard/krakowska-i/;https://maps.app.goo.gl/RNPYkUcijj3XvnwW6;Krakowska, Górnica, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
12;Andrychów;Andrychów;Krakowska;;2;49.858643;19.324084;billboard;billboard;504 x 238 cm;5.04;2.38;950;nie;https://brokersmedia.pl/billboard/krakowska-i-2-2/;https://maps.app.goo.gl/RNPYkUcijj3XvnwW6;Krakowska, Górnica, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
13;Andrychów;Sułkowice;Racławicka;I;;49.8332222;19.3673611;billboard;billboard;600 x 300 cm;6.0;3.0;1500;tak;https://brokersmedia.pl/billboard/raclawicka-i/;https://maps.app.goo.gl/LeXKJbcMfDamxCgTA;Racławicka, Hulakówka, Sułkowice, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-125, Polska
14;Andrychów;Andrychów;Starowiejska;;;49.860009;19.347761;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/starowiejska/;https://maps.app.goo.gl/PdTCaFkL4D6ApG4C7;Starowiejska, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
15;Andrychów;Andrychów;Starowiejska;I;2;49.860009;19.347761;billboard;billboard;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/starowiejska-i-2/;https://maps.app.goo.gl/PdTCaFkL4D6ApG4C7;Starowiejska, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
16;Andrychów;Andrychów;Przemysłowa;;;49.86226;19.324377;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;600;nie;https://maps.app.goo.gl/DsdYxfEUnax2ta4Q9;https://maps.app.goo.gl/DsdYxfEUnax2ta4Q9;Przemysłowa, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
17;Andrychów;Andrychów;Przemysłowa;;;49.86226;19.324377;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;600;nie;https://maps.app.goo.gl/DsdYxfEUnax2ta4Q9;https://maps.app.goo.gl/DsdYxfEUnax2ta4Q9;Przemysłowa, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
18;Andrychów;Andrychów;Krakowska;;;49.855472;19.336838;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://maps.app.goo.gl/q4fFcCTCLzXHLGfx9;https://maps.app.goo.gl/q4fFcCTCLzXHLGfx9;Krakowska, Górnica, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
19;Andrychów;Andrychów;Krakowska;;;49.855472;19.336838;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://maps.app.goo.gl/q4fFcCTCLzXHLGfx9;https://maps.app.goo.gl/q4fFcCTCLzXHLGfx9;Krakowska, Górnica, Andrychów, gmina Andrychów, powiat wadowicki, województwo małopolskie, 34-120, Polska
20;Bielsko-Biała;Bielsko-Biała;Aleja generała Władysława Andersa;I;;49.8355556;19.0091111;reklama mobilna;mobile;400 x 200 cm;4.0;2.0;800;nie;https://brokersmedia.pl/billboard/francuska-andersa-i/;https://maps.app.goo.gl/GhXu8TTKEqmScSwy7;Aleja generała Władysława Andersa, Stare Bielsko, Bielsko-Biała, województwo śląskie, 43-303, Polska
21;Bielsko-Biała;Bielsko-Biała;Aleja generała Władysława Andersa;I;2;49.8355556;19.0091111;reklama mobilna;mobile;400 x 200 cm;4.0;2.0;800;nie;https://brokersmedia.pl/billboard/francuska-andersa-i-2/;https://maps.app.goo.gl/GhXu8TTKEqmScSwy7;Aleja generała Władysława Andersa, Stare Bielsko, Bielsko-Biała, województwo śląskie, 43-303, Polska
22;Bielsko-Biała;Bielsko-Biała;Straconki;I;;49.801982;19.05352;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;800;nie;https://brokersmedia.pl/billboard/straconki-i/;https://maps.app.goo.gl/SVpZS9w7RkZKXT188;Straconki, Leszczyny, Bielsko-Biała, województwo śląskie, 43-301, Polska
23;Bielsko-Biała;Bielsko-Biała;Straconki;I;2;49.801982;19.05352;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;800;nie;https://brokersmedia.pl/billboard/straconki-i-2/;https://maps.app.goo.gl/SVpZS9w7RkZKXT188;Straconki, Leszczyny, Bielsko-Biała, województwo śląskie, 43-301, Polska
24;Bielsko-Biała;Bielsko-Biała;Straconki;II;1;49.801855;19.053705;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;800;nie;https://brokersmedia.pl/billboard/straconki-ii-1/;https://maps.app.goo.gl/kxNtJXfwqePEUHNcA;Straconki, Leszczyny, Bielsko-Biała, województwo śląskie, 43-301, Polska
25;Bielsko-Biała;Bielsko-Biała;Straconki;II;2;49.801855;19.053705;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;800;nie;https://brokersmedia.pl/billboard/straconki-ii-2/;https://maps.app.goo.gl/kxNtJXfwqePEUHNcA;Straconki, Leszczyny, Bielsko-Biała, województwo śląskie, 43-301, Polska
26;Bieruń;Babice;Śląska;;;50.062832;19.193444;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/slaska/;https://maps.app.goo.gl/i2Tnmm2yDBUXqJDC8;Śląska, Babice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, 43-155, Polska
27;Bieruń;Babice;Śląska;I;2;50.062832;19.193444;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/slaska-i-2/;https://maps.app.goo.gl/i2Tnmm2yDBUXqJDC8;Śląska, Babice, gmina Oświęcim, powiat oświęcimski, województwo małopolskie, 43-155, Polska
28;Bieruń;Bieruń;Warszawska;;;50.078837;19.164769;billboard;billboard;600 x 300 cm;6.0;3.0;1250;nie;https://brokersmedia.pl/billboard/warszawska-weglowa/;https://maps.app.goo.gl/7LqhLmARgEy3Xf2T7;Warszawska, Bieruń Nowy, Bieruń, powiat bieruńsko-lędziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 43-155, Polska
29;Bieruń;Bieruń;Warszawska;;;50.077681;19.175693;billboard;billboard;600 x 300 cm;6.0;3.0;1350;nie;https://brokersmedia.pl/billboard/warszawska/;https://maps.app.goo.gl/YiCxK3Y6QxKR3WMH9;Warszawska, Bieruń Nowy, Bieruń, powiat bieruńsko-lędziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 43-155, Polska
30;Bieruń;Bieruń;Warszawska;;2;50.077681;19.175693;billboard;billboard;600 x 300 cm;6.0;3.0;1250;nie;https://brokersmedia.pl/billboard/warszawska-ii-1-2/;https://maps.app.goo.gl/YiCxK3Y6QxKR3WMH9;Warszawska, Bieruń Nowy, Bieruń, powiat bieruńsko-lędziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 43-155, Polska
31;Bieruń;Bieruń;Warszawska;II;2;50.077681;19.175693;billboard;billboard;600 x 300 cm;6.0;3.0;1350;nie;https://brokersmedia.pl/billboard/warszawska-ii-2/;https://maps.app.goo.gl/YiCxK3Y6QxKR3WMH9;Warszawska, Bieruń Nowy, Bieruń, powiat bieruńsko-lędziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 43-155, Polska
32;Bieruń;Bieruń;Warszawska;I;2;50.077681;19.175693;billboard;billboard;600 x 300 cm;6.0;3.0;1250;nie;https://brokersmedia.pl/billboard/warszawska-i-2/;https://maps.app.goo.gl/YiCxK3Y6QxKR3WMH9;Warszawska, Bieruń Nowy, Bieruń, powiat bieruńsko-lędziński, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, 43-155, Polska
33;Bobrek;Bobrek;Krakowska;;;50.071358;19.258855;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/krakowska/;https://maps.app.goo.gl/e8aiRanfsaXwgqYS7;Krakowska, Podkomorek, Bobrek, gmina Chełmek, powiat oświęcimski, województwo małopolskie, 32-661, Polska
34;Bobrek;Bobrek;Krakowska;;3;50.071358;19.258855;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/krakowska-i-2-3/;https://maps.app.goo.gl/e8aiRanfsaXwgqYS7;Krakowska, Podkomorek, Bobrek, gmina Chełmek, powiat oświęcimski, województwo małopolskie, 32-661, Polska
35;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;I;;49.97495;19.145149;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;600;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-i/;https://maps.app.goo.gl/zPUb3KBDY55JLg2y7;Ofiar Oświęcimia, Podpole, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
36;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;I;2;49.97495;19.145149;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;600;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-i-2/;https://maps.app.goo.gl/zPUb3KBDY55JLg2y7;Ofiar Oświęcimia, Podpole, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
37;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;II;2;49.97495;19.145149;billboard;billboard;504 x 238 cm;5.04;2.38;950;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-ii-2/;https://maps.app.goo.gl/zPUb3KBDY55JLg2y7;Ofiar Oświęcimia, Podpole, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
38;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;II;;49.974681;19.144692;billboard;billboard;504 x 238 cm;5.04;2.38;1250;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-ii/;https://maps.app.goo.gl/7mEWThQjF6TyefNV8;Ofiar Oświęcimia, Lisowce, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-626, Polska
39;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;III;2;49.974681;19.144692;billboard;billboard;504 x 238 cm;5.04;2.38;950;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-iii-2/;https://maps.app.goo.gl/7mEWThQjF6TyefNV8;Ofiar Oświęcimia, Lisowce, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-626, Polska
40;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;IV;2;49.974681;19.144692;billboard;billboard;504 x 238 cm;5.04;2.38;850;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-iv-2/;https://maps.app.goo.gl/7mEWThQjF6TyefNV8;Ofiar Oświęcimia, Lisowce, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-626, Polska
41;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;;;49.998114;19.173838;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-v/;https://maps.app.goo.gl/Nb44crsXxXmuKPGF6;Ofiar Oświęcimia, Budy, Wilcze Doły, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-625, Polska
42;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;VI;1;49.9895556;19.1637778;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-vi-1/;https://maps.app.goo.gl/gbGcY8G9Rpa54axW9;Ofiar Oświęcimia, Szczotki, Wilcze Doły, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
43;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;VI;2;49.9895556;19.1637778;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/ofiar-oswiecimia-vi-2/;https://maps.app.goo.gl/gbGcY8G9Rpa54axW9;Ofiar Oświęcimia, Szczotki, Wilcze Doły, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
44;Brzeszcze;Brzeszcze;Turystyczna;I;1;49.96625;19.1386111;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/turystyczna-i-1/;https://maps.app.goo.gl/a8eaFns1mYXwDch4A;Turystyczna, Kacza, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 36-626, Polska
45;Brzeszcze;Brzeszcze;Turystyczna;I;2;49.96625;19.1386111;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/turystyczna-i-2/;https://maps.app.goo.gl/a8eaFns1mYXwDch4A;Turystyczna, Kacza, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 36-626, Polska
46;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;;;49.976773;19.147084;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://maps.app.goo.gl/JnCPjM5jfiv5hz2L7;https://maps.app.goo.gl/JnCPjM5jfiv5hz2L7;Ofiar Oświęcimia, Podpole, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
47;Brzeszcze;Brzeszcze;Ofiar Oświęcimia;;;49.976773;19.147084;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://maps.app.goo.gl/JnCPjM5jfiv5hz2L7;https://maps.app.goo.gl/JnCPjM5jfiv5hz2L7;Ofiar Oświęcimia, Podpole, Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska
48;Buczkowice;Buczkowice;Bielska;;2;49.73525;19.0664444;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;600;nie;https://brokersmedia.pl/billboard/bielska-2/;https://maps.app.goo.gl/xcEydBL3PmYqBw429;Bielska, Plac u Zoniów, Buczkowice, gmina Buczkowice, powiat bielski, województwo śląskie, 43-374, Polska
49;Buczkowice;Buczkowice;Bielska;I;2;49.73525;19.0664444;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;600;nie;https://brokersmedia.pl/billboard/bielska-i-2/;https://maps.app.goo.gl/xcEydBL3PmYqBw429;Bielska, Plac u Zoniów, Buczkowice, gmina Buczkowice, powiat bielski, województwo śląskie, 43-374, Polska
50;Bulowice;Bulowice;Bielska;;;49.879881;19.260295;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;700;nie;https://brokersmedia.pl/billboard/bielska/;https://maps.app.goo.gl/QBeMPBSWpikyw1VJ6;Bielska, Stara Droga Dolna, Bulowice, gmina Kęty, powiat oświęcimski, województwo małopolskie, 32-652, Polska
51;Bulowice;Bulowice;Bielska;;2;49.879881;19.260295;reklama mobilna;mobile;504 x 238 cm;5.04;2.38;900;nie;https://brokersmedia.pl/billboard/bielska-i-2-2/;https://maps.app.goo.gl/QBeMPBSWpikyw1VJ6;Bielska, Stara Droga Dolna, Bulowice, gmina Kęty, powiat oświęcimski, województwo małopolskie, 32-652, Polska
52;Chrzanów;Chrzanów;Borowcowa;;;50.1258748;19.3981133;billboard;billboard;600 x 300 cm;6.0;3.0;1350;nie;https://brokersmedia.pl/billboard/borowcowa/;https://maps.app.goo.gl/xNQTYx13u2FUAErk7;Borowcowa, Kolonia Rospontowa, Chrzanów, gmina Chrzanów, powiat chrzanowski, województwo małopolskie, 32-500, Polska
53;Głębowice;Głębowice;Oświęcimska;;;49.946243;19.331911;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/oswiecimska-kulturowa/;https://maps.app.goo.gl/BBRDkUtWJy8LTcki8;Oświęcimska, Górna Wieś, Głębowice, gmina Osiek, powiat oświęcimski, województwo małopolskie, 32-607, Polska
54;Głębowice;Głębowice;Oświęcimska;I;2;49.946243;19.331911;reklama mobilna;mobile;490 x 230 cm;4.9;2.3;700;nie;https://brokersmedia.pl/billboard/kulturowa-i-2/;https://maps.app.goo.gl/BBRDkUtWJy8LTcki8;Oświęcimska, Górna Wieś, Głębowice, gmina Osiek, powiat oświęcimski, województwo małopolskie, 32-607, Polska
